dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/15T/short,Timer-S1,4.669549269903274,4.669549269903274,1.0357632591610864,0.6673493133099536,0.4537137947741401,0.22815895080566406,4.5085557318839395,2.1609139894737304,0.40850269239390175,0.19580236978938306,0.15284678697754378,Energy,7
ett1/15T/medium,Timer-S1,9.16202628968254,9.16202628968254,1.5720328000992063,0.9832120899861134,0.6915437869043122,0.3901821754092262,9.062698379910305,3.0268839240516874,0.5769270687334207,0.2996310060347525,0.23663157964164683,Energy,7
ett1/15T/long,Timer-S1,8.320857514880952,8.320857514880952,1.54771732390873,0.9916271579734396,0.710805632318734,0.39218157087053573,11.641405394394896,2.8845896614390325,0.5498056415870454,0.29499645223109994,0.24212906842429405,Energy,7
ett1/D/short,Timer-S1,49551.933333333334,49551.933333333334,149.57222222222222,1.7681473358243105,1.1973253038194445,0.4973411923363095,10.250088927030042,222.60263550401496,0.5846732059561515,0.39285640302796543,0.29585060050150147,Energy,7
ett1/H/short,Timer-S1,112.99300595238095,112.99300595238095,5.0507085890997026,0.8274674977042313,0.5189541407993862,0.25599036443801154,5.804640043436745,10.629816835316635,0.49613704008612686,0.23573723315796544,0.18357206776273383,Energy,7
ett1/H/medium,Timer-S1,164.83683035714284,164.83683035714284,7.334285481770833,1.297976374458983,3315486245806.394,0.4531282697405134,14.314011199992867,12.838879637925688,0.6149519001998051,0.3512948887144106,0.2867915399342963,Energy,7
ett1/H/long,Timer-S1,177.81676587301587,177.81676587301587,7.9048642113095235,1.4395633705192667,3834687647479.3135,0.4957274421812996,20.346128703015054,13.334795306753525,0.6385744660789189,0.3785468263323703,0.31645257519976294,Energy,7
ett1/W/short,Timer-S1,2337585.285714286,2337585.285714286,1064.2587193080358,1.706331411686971,0.7517862319946289,0.5616647175380162,8.879170605060809,1528.9163762986798,0.6083923179214594,0.42349394587258354,0.31494139472073934,Energy,7
ett2/15T/short,Timer-S1,7.642365955171131,7.642365955171131,1.7100325811476935,0.7401781489307548,0.10544029392293049,0.1252968016124907,5.06027317307775,2.7644829453572566,0.1312398399422353,0.08118132999255245,0.06389558113786542,Energy,7
ett2/15T/medium,Timer-S1,11.219489087301588,11.219489087301588,2.082477833581349,0.8643580183682582,0.12986944895100666,0.1578837367466518,9.443820559376912,3.3495505798989793,0.17850361352907085,0.11097901330980141,0.09129853676928927,Energy,7
ett2/15T/long,Timer-S1,11.198322172619047,11.198322172619047,2.1263061135912698,0.8896539257067433,0.1351178696511165,0.1638043697296627,11.455293262725332,3.3463894233365976,0.17833514977375317,0.11331470168647036,0.09554358057359977,Energy,7
ett2/D/short,Timer-S1,112520.12698412698,112520.12698412698,201.49437003968254,1.3400832618400074,0.4545933314732143,0.13727969215029762,12.754680874853538,335.4401988195914,0.19198127607556942,0.11532054422334174,0.0953788630609742,Energy,7
ett2/H/short,Timer-S1,101.80745907738095,101.80745907738095,6.426072474888393,0.7412006139569628,0.11934773878255887,0.11088862646193731,5.189807310716939,10.089968239661657,0.1279688716403126,0.08150047890714804,0.06378399889218782,Energy,7
ett2/H/medium,Timer-S1,234.46277901785714,234.46277901785714,9.456366257440477,1.0160414425652011,0.1710460625305153,0.16578634352911087,10.232854610522752,15.312177474737457,0.2063414383649467,0.12743061648059117,0.10509889445355568,Energy,7
ett2/H/long,Timer-S1,233.38088624338624,233.38088624338624,9.602326182208994,1.0575443079556985,0.18199184942650204,0.17789584366732805,15.838431635269464,15.276808771578777,0.20920413822638306,0.13149646656931113,0.11397247484148933,Energy,7
ett2/W/short,Timer-S1,3862545.4285714286,3862545.4285714286,1241.6356026785713,0.7810912522900659,0.11765408515930176,0.1170829279082162,8.63214585754515,1965.33595819428,0.16486155645588724,0.10415419163078163,0.0889808033616874,Energy,7
hierarchical_sales/D/short,Timer-S1,28.472749586606035,28.472749586606035,2.302054697188921,0.7464570401824309,0.6392106234319126,1.0404649713207936,7.132111266415262,5.3359862805863765,1.6370214984005433,0.7062448873796751,0.5726957392590035,Sales,1
hierarchical_sales/W/short,Timer-S1,451.161281779661,451.161281779661,8.948464603747352,0.7238660823239087,0.5454416946772165,0.45828576815330374,6.640620178943398,21.240557473372988,0.9751643831319854,0.4108283869776405,0.34614598823567405,Sales,1
hospital/M/short,Timer-S1,3294.6786179921774,3294.6786179921774,19.609432719469797,0.8335733008220652,0.21014152304704475,0.1900586489230226,5.345062757368314,57.39929109311523,0.20837275559671947,0.07118679435980871,0.05542710553826636,Healthcare,1
jena_weather/10T/short,Timer-S1,759.1672619047619,759.1672619047619,5.302933950272817,0.2661372131299903,0.34910910536546547,0.5411869109623015,2.1835755807038857,27.552990071946127,0.1711386010986413,0.03293786611175157,0.026941483600828254,Nature,21
jena_weather/10T/medium,Timer-S1,1401.9291486291486,1401.9291486291486,9.11560808982684,0.5690974667239382,0.7499361276570895,0.6426576732729077,7.215099733101108,37.44234432603211,0.22978302703972156,0.05594233101296194,0.047203480067397635,Nature,21
jena_weather/10T/long,Timer-S1,1368.8492063492063,1368.8492063492063,9.472244957010583,0.6256319657127811,0.7891052992664986,0.6381530438781415,9.192429144821691,36.99796219184519,0.22639687474677195,0.05796229111169097,0.049189314095356734,Nature,21
